STATNAME,DISTNAME,primary,upper_primary
MADHYA PRADESH,AGAR MALWA,,
UTTAR PRADESH,AGRA,84.03,39.56
GUJARAT,Ahmadabad,83.88,77.23
MAHARASHTRA,AHMADNAGAR,84.5,84.05
MIZORAM,AIZAWL,92.05,77.58
RAJASTHAN,AJMER,88.88,66.22
MAHARASHTRA,AKOLA,86.43,80.72
KERALA,ALAPPUZHA,86.02,80
UTTAR PRADESH,ALIGARH,70.45,55.75
WEST BENGAL,ALIPURDUAR,,
MADHYA PRADESH,ALIRAJPUR,85.74,32.98
UTTAR PRADESH,ALLAHABAD,96.76,62.33
UTTARAKHAND,ALMORA,75.4,72.14
RAJASTHAN,ALWAR,79.03,64.16
HARYANA,AMBALA,86.18,78.71
UTTAR PRADESH,AMBEDKAR NAGAR,,74.04
UTTAR PRADESH,AMETHI - CSM NAGAR,,
MAHARASHTRA,AMRAVATI,87.96,81.74
GUJARAT,AMRELI,76.4,68.76
PUNJAB,AMRITSAR,97.71,78.03
GUJARAT,ANAND,86.66,81.91
ANDHRA PRADESH,ANANTAPUR,77.88,58.35
JAMMU & KASHMIR,ANANTNAG,41.81,33.66
ARUNACHAL PRADESH,Anjaw,60.69,37.76
ODISHA,Anugul,99.98,86.01
MADHYA PRADESH,ANUPPUR,76.4,68.82
BIHAR,ARARIA,,44.77
GUJARAT,ARAVALLI,,
BIHAR,ARWAL,,85.32
MADHYA PRADESH,ASHOKNAGAR,88.85,65.22
UTTAR PRADESH,AURAIYA,,85.75
BIHAR,AURANGABAD (BIHAR),,82.21
MAHARASHTRA,AURANGABAD (MAHARASHTRA),,91.18
UTTAR PRADESH,AZAMGARH,,53.99
JAMMU & KASHMIR,BADGAM,40.71,31.92
KARNATAKA,BAGALKOT,97.72,86.76
UTTARAKHAND,BAGESHWAR,80.87,75.25
UTTAR PRADESH,BAGHPAT,98.37,69.32
UTTAR PRADESH,BAHRAICH,93.47,37.37
ASSAM,BAKSA,,76.01
MADHYA PRADESH,BALAGHAT,83.01,75.33
ODISHA,Balangir,86.06,79.01
ODISHA,Baleshwar,92.68,74.01
UTTAR PRADESH,BALLIA,95.52,49.74
CHHATTISGARH,BALOD,,
CHHATTISGARH,BALODABAZAR,,
CHHATTISGARH,BALRAMPUR,,
UTTAR PRADESH,BALRAMPUR,85.92,24.34
GUJARAT,BANAS KANTHA,81.05,74.87
UTTAR PRADESH,BANDA,,58.01
JAMMU & KASHMIR,Bandipore,60.37,41.55
KARNATAKA,BANGALORE RURAL,95.95,93.2
KARNATAKA,BANGALORE U NORTH,,
KARNATAKA,BANGALORE U SOUTH,,
BIHAR,BANKA,98.8,69.44
WEST BENGAL,BANKURA,87.41,76.73
RAJASTHAN,BANSWARA,88.85,61.48
UTTAR PRADESH,Bara Banki,84.13,46.8
JAMMU & KASHMIR,BARAMULA,61.07,52.19
RAJASTHAN,BARAN,95.27,63.5
WEST BENGAL,BARDDHAMAN,67.1,54.83
UTTAR PRADESH,BAREILLY,94.69,41.55
ODISHA,BARGARH,80.05,74.43
RAJASTHAN,BARMER,78.84,49.32
PUNJAB,BARNALA,86.75,82.8
ASSAM,BARPETA,97.59,65.18
MADHYA PRADESH,BARWANI,68.39,35.63
CHHATTISGARH,Bastar,50.64,38.26
UTTAR PRADESH,BASTI,94.4,63.12
PUNJAB,BATHINDA,90.29,77.56
ODISHA,Bauda,80.52,79.25
BIHAR,BEGUSARAI,,74.97
KARNATAKA,BELGAUM,,
KARNATAKA,BELGAUM CHIKKODI,,
KARNATAKA,BELLARY,95.89,82.49
CHHATTISGARH,BEMETARA,,
MADHYA PRADESH,BETUL,84.6,74.52
ODISHA,BHADRAK,96.7,82.26
BIHAR,BHAGALPUR,97.75,69.58
MAHARASHTRA,BHANDARA,85.87,80.51
RAJASTHAN,BHARATPUR,86.6,62.02
GUJARAT,BHARUCH,89.73,82.14
GUJARAT,BHAVNAGAR,66.46,63.29
RAJASTHAN,BHILWARA,84.56,63.47
MADHYA PRADESH,BHIND,83.04,72.42
HARYANA,BHIWANI,77.47,72.11
BIHAR,BHOJPUR,,74.81
MADHYA PRADESH,BHOPAL,,83.08
MAHARASHTRA,BID,95.03,83.28
KARNATAKA,BIDAR,,82.3
CHHATTISGARH,BIJAPUR,99.99,35.12
KARNATAKA,BIJAPUR (KARNATAKA),,85.27
UTTAR PRADESH,BIJNOR,85.42,53.64
RAJASTHAN,BIKANER,85.65,55.36
CHHATTISGARH,BILASPUR (CHHATTISGARH),71.65,62.71
HIMACHAL PRADESH,Bilaspur (Himachal),80.71,76.89
WEST BENGAL,BIRBHUM,89.21,68.55
MANIPUR,BISHNUPUR,93.27,61.56
JHARKHAND,BOKARO,79.5,58.17
ASSAM,BONGAIGAON,,69.75
GUJARAT,BOTAD,,
UTTAR PRADESH,BUDAUN,72.41,36.63
